item_id,author_id,duration,train_interactions_rank,video_id,channel,view_count,topic,creator_trait,prosocial,risk,appearance_comparison,opinion_comparison
595229413,842,49,19343412,vid_595229413,creator_842,284187,gaming,international,1,0,0.33021506487149754,0.6760262880525475
41960157,842,56,19469017,vid_41960157,creator_842,158582,news,international,1,0,0.756751505688635,0.7066298698787096
310196623,843,25,19216119,vid_310196623,creator_843,411480,lifestyle,international,0,0,0.5193858595039373,0.6100074170794857
567411605,843,47,19164179,vid_567411605,creator_843,463420,gaming,international,0,0,0.20488127415071256,0.3129073942136482
39500415,843,64,19583230,vid_39500415,creator_843,44369,sports,international,1,0,0.8778300781520408,0.27109625376406576
200514714,849,7,19381570,vid_200514714,creator_849,246029,education,rural,1,1,0.8795818549515292,0.5976682827027031
95998125,849,7,19381573,vid_95998125,creator_849,246026,news,rural,1,0,0.8705784250460069,0.8660956336116915
489102663,849,10,19350808,vid_489102663,creator_849,276791,education,rural,1,0,0.23879621138153928,0.9467337289233956
183073887,849,14,19264010,vid_183073887,creator_849,363589,education,rural,0,0,0.4512393441809881,0.10590580440375763
256375230,876,49,19343414,vid_256375230,creator_876,284185,entertainment,urban,0,0,0.9849896561408751,0.15482861259771985
248837846,876,60,19166905,vid_248837846,creator_876,460694,gaming,urban,0,1,0.7720124763099904,0.9447362587830797
103013764,876,60,19166907,vid_103013764,creator_876,460692,music,urban,1,0,0.027167421225559818,0.7365352283347926
426453325,876,64,19583227,vid_426453325,creator_876,44372,news,urban,0,0,0.06520459126049205,0.8829938248297731
127065408,876,74,19188671,vid_127065408,creator_876,438928,news,urban,0,0,0.46393137681233276,0.20263263413534316
84092566,876,80,19257416,vid_84092566,creator_876,370183,education,urban,0,1,0.9092202058615602,0.5875858711094019
486920728,911,28,19424876,vid_486920728,creator_911,202723,music,international,0,1,0.5387017979527142,0.7011395944174736
581549241,934,19,19441586,vid_581549241,creator_934,186013,gaming,urban,0,0,0.4978125080342902,0.6801118854469727
383061570,934,22,19385315,vid_383061570,creator_934,242284,news,urban,1,0,0.10547369995663058,0.4081516908666981
463855996,934,30,19564801,vid_463855996,creator_934,62798,entertainment,urban,0,0,0.656780104724294,0.015394891691308477
199904867,946,61,19396479,vid_199904867,creator_946,231120,entertainment,rural,1,1,0.8221031606002255,0.5829260568042631
509185474,949,10,19350803,vid_509185474,creator_949,276796,lifestyle,international,0,0,0.38042000750756233,0.25310153917960876
545424998,949,12,19250603,vid_545424998,creator_949,376996,education,international,0,1,0.7756118509253275,0.45025424614289034
15903088,949,18,19583869,vid_15903088,creator_949,43730,sports,international,1,0,0.9644766539008116,0.9575810150838173
327378021,949,21,19198549,vid_327378021,creator_949,429050,news,international,1,0,0.2037664591276891,0.3990353176424347
411108081,949,29,19494022,vid_411108081,creator_949,133577,lifestyle,international,0,0,0.5233296311947413,0.8398016066644267
58187991,1055,10,19350802,vid_58187991,creator_1055,276797,education,urban,1,0,0.28713795808457554,0.18854060574925113
544881285,1063,5,19177945,vid_544881285,creator_1063,449654,lifestyle,international,0,0,0.7928544190338394,0.6724604980250288
527858814,1063,6,19157897,vid_527858814,creator_1063,469702,entertainment,international,0,0,0.5775933658811575,0.9770069544389435
93894843,1063,7,19381579,vid_93894843,creator_1063,246020,entertainment,international,0,0,0.6345824175503038,0.10189310087293679
285175138,1063,7,19381584,vid_285175138,creator_1063,246015,news,international,0,0,0.7979141596158941,0.008319942227192012
316233498,1063,7,19381583,vid_316233498,creator_1063,246016,music,international,0,0,0.3959704726624549,0.43358279263261434
532285951,1063,7,19381577,vid_532285951,creator_1063,246022,news,international,0,0,0.9150900684070432,0.0926254830513672
263890834,1063,7,19381578,vid_263890834,creator_1063,246021,education,international,0,1,0.53302886724614,0.7483843496762314
412229812,1064,7,19381593,vid_412229812,creator_1064,246006,news,rural,0,1,0.157954822835348,0.9145486638485589
151314571,1064,7,19381587,vid_151314571,creator_1064,246012,gaming,rural,0,1,0.6958991181688025,0.43402097270875883
338425543,1064,7,19381596,vid_338425543,creator_1064,246003,lifestyle,rural,1,1,0.7932613504382544,0.25871164215544096
350899980,1064,7,19381585,vid_350899980,creator_1064,246014,education,rural,0,0,0.31676167706752667,0.4344033190066098
282908880,1064,7,19381588,vid_282908880,creator_1064,246011,news,rural,0,0,0.857179256998753,0.723447817850001
599730510,1064,7,19381589,vid_599730510,creator_1064,246010,gaming,rural,1,0,0.9061432547657664,0.009054161580370979
169104057,1064,7,19381586,vid_169104057,creator_1064,246013,sports,rural,0,0,0.2769044873778089,0.5894539894846972
453699524,1064,7,19381590,vid_453699524,creator_1064,246009,lifestyle,rural,0,0,0.9835214727152221,0.6132916848873791
313712437,1064,7,19381592,vid_313712437,creator_1064,246007,news,rural,0,1,0.14071152804875842,0.6376882468959355
162266553,1075,19,19441585,vid_162266553,creator_1075,186014,sports,rural,0,0,0.20201566840248997,0.2420220799808772
399301689,1105,22,19385320,vid_399301689,creator_1105,242279,education,suburban,1,0,0.18422483923802613,0.7140527233781268
549019688,1251,36,19505541,vid_549019688,creator_1251,122058,music,suburban,1,0,0.8939897100078704,0.0913914863317764
43504808,1251,64,19583220,vid_43504808,creator_1251,44379,music,suburban,0,0,0.6542925523249619,0.1992703364668008
600214338,1251,90,19363744,vid_600214338,creator_1251,263855,news,suburban,1,0,0.15210428322227287,0.8774700466544819
299119998,1251,109,19468186,vid_299119998,creator_1251,159413,entertainment,suburban,1,0,0.440323418368349,0.7387231507265664
372840832,1257,44,19200050,vid_372840832,creator_1257,427549,entertainment,urban,0,1,0.615298025069802,0.013745554011345251
300508877,1267,7,19381597,vid_300508877,creator_1267,246002,lifestyle,suburban,1,0,0.08346408498938329,0.2483762603698002
287973653,1267,14,19263989,vid_287973653,creator_1267,363610,education,suburban,0,0,0.8824163684073387,0.21440648299316456
339972911,1267,16,19447325,vid_339972911,creator_1267,180274,gaming,suburban,1,1,0.8036035354415352,0.2708063280369726
158899169,1267,20,19321239,vid_158899169,creator_1267,306360,sports,suburban,1,1,0.5052067735766382,0.2475597702798864
428941237,1267,22,19385321,vid_428941237,creator_1267,242278,education,suburban,0,1,0.9671266152591704,0.06252629574284574
405975495,1267,23,19516625,vid_405975495,creator_1267,110974,lifestyle,suburban,0,1,0.4177609792750997,0.45894051659682034
12098415,1267,31,19592158,vid_12098415,creator_1267,35441,sports,suburban,0,0,0.9841103190364978,0.7327334747861651
18478515,1267,39,19429178,vid_18478515,creator_1267,198421,news,suburban,0,0,0.6679199988036271,0.6067317247174364
216270122,1267,44,19200043,vid_216270122,creator_1267,427556,news,suburban,1,0,0.6346712732539415,0.6728716685980798
512882216,1278,8,19602192,vid_512882216,creator_1278,25407,lifestyle,urban,1,0,0.165954895295785,0.08114917853623915
9535031,1278,8,19602219,vid_9535031,creator_1278,25380,education,urban,0,0,0.881927758304644,0.9514907101767872
325607604,1278,9,19190788,vid_325607604,creator_1278,436811,entertainment,urban,0,0,0.42748968792061515,0.8384918338430248
363052869,1278,10,19350800,vid_363052869,creator_1278,276799,gaming,urban,0,0,0.16223340578247936,0.8050903184956627
24280790,1278,15,19181860,vid_24280790,creator_1278,445739,news,urban,0,0,0.01260751997575904,0.8229838050417675
209262257,1278,16,19447324,vid_209262257,creator_1278,180275,education,urban,0,0,0.5597556836383826,0.9327105081327614
203335050,1278,21,19198547,vid_203335050,creator_1278,429052,sports,urban,0,0,0.5273996221226763,0.5442539661136977
520004144,1278,26,19285652,vid_520004144,creator_1278,341947,gaming,urban,1,0,0.7193536223691586,0.2002820178676259
528931837,1278,26,19285649,vid_528931837,creator_1278,341950,entertainment,urban,0,0,0.8902580530178021,0.6167836078525412
44093877,1278,28,19424878,vid_44093877,creator_1278,202721,lifestyle,urban,0,1,0.07940658464302952,0.742881493667939
174917212,1278,40,19558946,vid_174917212,creator_1278,68653,entertainment,urban,1,0,0.7314964903403623,0.7379173933540254
194065370,1278,60,19166904,vid_194065370,creator_1278,460695,entertainment,urban,0,0,0.18741194409758222,0.5214490241668801
510244445,1278,62,19508992,vid_510244445,creator_1278,118607,entertainment,urban,1,0,0.858177053157164,0.06845871933357806
6617036,1278,62,19508997,vid_6617036,creator_1278,118602,gaming,urban,1,1,0.8190635138616561,0.3711129384301278
238731806,1278,68,19329958,vid_238731806,creator_1278,297641,education,urban,0,0,0.5407937549855444,0.9207666084633573
445376919,1279,30,19564805,vid_445376919,creator_1279,62794,sports,suburban,0,0,0.7102427986233115,0.584448909757426
492130879,1294,5,19169951,vid_492130879,creator_1294,457648,education,international,0,0,0.3143501131837484,0.5383319432557134
396909389,1294,5,19627598,vid_396909389,creator_1294,1,music,international,0,0,0.47116789893281463,0.2688535143821935
78264917,1294,5,19627597,vid_78264917,creator_1294,2,entertainment,international,0,1,0.8216368977104717,0.3684489199165789
605242344,1294,6,19157892,vid_605242344,creator_1294,469707,news,international,0,0,0.4592651971732139,0.8953460891531693
233555038,1294,6,19157895,vid_233555038,creator_1294,469704,gaming,international,0,0,0.3577982653254418,0.6664630475268357
279269612,1294,6,19157894,vid_279269612,creator_1294,469705,news,international,0,1,0.4942124472502999,0.7873870267523329
197242153,1294,6,19157893,vid_197242153,creator_1294,469706,lifestyle,international,0,1,0.8282492524372184,0.45434542306765513
379778237,1294,6,19157891,vid_379778237,creator_1294,469708,music,international,1,0,0.33520804737087273,0.6302472194561579
561803523,1294,6,19157896,vid_561803523,creator_1294,469703,education,international,0,1,0.1737615931357438,0.24838360874320753
214839325,1294,7,19381604,vid_214839325,creator_1294,245995,education,international,0,0,0.7120140203307808,0.7054608302834863
75006735,1294,7,19381598,vid_75006735,creator_1294,246001,entertainment,international,0,0,0.8259782127080818,0.4276013337033373
39933182,1294,7,19381601,vid_39933182,creator_1294,245998,education,international,1,0,0.10063747852353333,0.4425455148147456
580448065,1294,7,19381599,vid_580448065,creator_1294,246000,lifestyle,international,0,0,0.23987411275594472,0.6493223245768817
368516375,1294,7,19381602,vid_368516375,creator_1294,245997,news,international,0,0,0.1419719897609939,0.9362806214689267
375742368,1294,8,19602280,vid_375742368,creator_1294,25319,sports,international,1,1,0.3479414115821666,0.06400634660862092
64667109,1294,8,19602269,vid_64667109,creator_1294,25330,entertainment,international,0,1,0.45035097890541265,0.8247432373470076
197662525,1294,8,19602266,vid_197662525,creator_1294,25333,entertainment,international,1,0,0.7488263369633065,0.2923831104121931
117550719,1294,8,19602282,vid_117550719,creator_1294,25317,sports,international,0,1,0.6511475848816741,0.4439194545063778
294410701,1294,8,19602240,vid_294410701,creator_1294,25359,education,international,0,0,0.6209285674784312,0.021913328775008956
29993554,1294,8,19602224,vid_29993554,creator_1294,25375,news,international,0,0,0.3523749466096544,0.30104607783431303
541018695,1294,8,19602258,vid_541018695,creator_1294,25341,news,international,0,0,0.8414475530847599,0.5026312426301305
304723393,1294,8,19602249,vid_304723393,creator_1294,25350,sports,international,0,0,0.47128716739816456,0.05617607734743901
131672830,1294,9,19190734,vid_131672830,creator_1294,436865,entertainment,international,1,1,0.9791049380151545,0.49109572938316515
290269624,1294,9,19190652,vid_290269624,creator_1294,436947,gaming,international,0,1,0.6341421382957368,0.9271106288584273
300866533,1294,9,19190658,vid_300866533,creator_1294,436941,gaming,international,0,0,0.12626474156450274,0.10539321810780522
506445115,1294,9,19190784,vid_506445115,creator_1294,436815,education,international,0,0,0.676177562075434,0.7644407280755043
168609010,1294,9,19190748,vid_168609010,creator_1294,436851,news,international,0,0,0.325104015431699,0.40967105337599263
209494598,1294,9,19190678,vid_209494598,creator_1294,436921,lifestyle,international,0,0,0.6863271966860974,0.655173714524338
108937922,1294,10,19350797,vid_108937922,creator_1294,276802,news,international,0,1,0.06964114816240574,0.26023659798522936
5920966,1294,10,19350798,vid_5920966,creator_1294,276801,sports,international,0,0,0.1748814371759594,0.1594922625413583
269917758,1294,11,19270550,vid_269917758,creator_1294,357049,news,international,0,0,0.8557372589057863,0.16046261427122643
357282420,1294,11,19270555,vid_357282420,creator_1294,357044,sports,international,0,0,0.2271795570235149,0.07049194564314465
581897015,1294,11,19270558,vid_581897015,creator_1294,357041,sports,international,0,0,0.83704112524294,0.18564670490124302
147916419,1294,12,19250615,vid_147916419,creator_1294,376984,music,international,0,0,0.27927608845441043,0.6642193849889683
122676857,1294,12,19250606,vid_122676857,creator_1294,376993,education,international,0,0,0.6428819100587077,0.881690611843508
75544551,1294,12,19250613,vid_75544551,creator_1294,376986,music,international,1,0,0.694150573509831,0.8141256855911618
585779515,1294,14,19263946,vid_585779515,creator_1294,363653,music,international,0,0,0.5126547531450529,0.6851343098744841
156613065,1294,14,19263943,vid_156613065,creator_1294,363656,gaming,international,0,1,0.3053106766967313,0.11043186341110267
16349688,1294,25,19216120,vid_16349688,creator_1294,411479,entertainment,international,0,0,0.21264437637109612,0.28918744629594983
72215667,1304,60,19166900,vid_72215667,creator_1304,460699,entertainment,suburban,1,0,0.03318935456242622,0.309806875322469
52265386,1304,60,19166902,vid_52265386,creator_1304,460697,entertainment,suburban,1,1,0.3039464012407238,0.24995694639762123
407721071,1304,60,19166901,vid_407721071,creator_1304,460698,music,suburban,0,0,0.653162790531283,0.5150056597097231
16714927,1304,62,19509008,vid_16714927,creator_1304,118591,music,suburban,0,1,0.9383048184484827,0.5355538148796726
557270938,1304,64,19583216,vid_557270938,creator_1304,44383,entertainment,suburban,1,0,0.871204482263052,0.3568859751711102
343511370,1304,65,19512966,vid_343511370,creator_1304,114633,sports,suburban,0,0,0.7660647765353026,0.353789158736436
243370837,1304,67,19384526,vid_243370837,creator_1304,243073,news,suburban,0,0,0.7884473432532987,0.8285555979060814
185017079,1304,68,19329955,vid_185017079,creator_1304,297644,music,suburban,0,0,0.6649849034759953,0.7892928483196856
46600557,1304,69,19273710,vid_46600557,creator_1304,353889,sports,suburban,0,0,0.260286857566003,0.30779583168074565
15488638,1312,13,19349536,vid_15488638,creator_1312,278063,education,urban,1,0,0.9071950307058299,0.9137884438732593
51506965,1312,16,19447319,vid_51506965,creator_1312,180280,music,urban,1,0,0.670732311905834,0.952815017002506
399739059,1312,18,19583868,vid_399739059,creator_1312,43731,gaming,urban,0,0,0.56044063098044,0.32674254203004083
182039288,1312,38,19311941,vid_182039288,creator_1312,315658,education,urban,0,0,0.11098946921348107,0.35442494879305486
222645965,1312,43,19318461,vid_222645965,creator_1312,309138,gaming,urban,0,1,0.4470555438064254,0.5056341534219588
350974585,1318,67,19384519,vid_350974585,creator_1318,243080,lifestyle,suburban,1,1,0.4603582712019263,0.9411208125336735
403526586,1323,15,19181897,vid_403526586,creator_1323,445702,sports,international,1,1,0.86456360952267,0.8763194331423115
580841585,1323,20,19321238,vid_580841585,creator_1323,306361,lifestyle,international,1,0,0.5466482201877885,0.1025679625835898
17270820,1323,31,19592154,vid_17270820,creator_1323,35445,news,international,1,0,0.38040054897040965,0.3927307432714162
217467995,1336,6,19157890,vid_217467995,creator_1336,469709,sports,rural,0,0,0.9768003285106593,0.5533711897497718
515710340,1336,7,19381606,vid_515710340,creator_1336,245993,lifestyle,rural,0,0,0.11072059332631567,0.50313247255154
334141851,1336,7,19381612,vid_334141851,creator_1336,245987,sports,rural,0,0,0.4225484283119446,0.19386306793689267
30498131,1336,7,19381608,vid_30498131,creator_1336,245991,gaming,rural,1,0,0.04202467517140529,0.8588167711681547
569289296,1336,7,19381609,vid_569289296,creator_1336,245990,music,rural,0,0,0.7399041207669304,0.6769407829968374
309022725,1336,7,19381613,vid_309022725,creator_1336,245986,entertainment,rural,0,0,0.9180765521991506,0.8379083748518036
590473636,1336,7,19381611,vid_590473636,creator_1336,245988,education,rural,0,0,0.28003732955048943,0.8587642793494722
398587350,1336,8,19602351,vid_398587350,creator_1336,25248,sports,rural,0,0,0.8583416767991209,0.7483558536657398
318375418,1336,8,19602311,vid_318375418,creator_1336,25288,music,rural,0,0,0.29221823046189777,0.43921060124971734
491112859,1336,8,19602360,vid_491112859,creator_1336,25239,music,rural,0,1,0.9107701616439152,0.6105467550154245
450457121,1336,8,19602352,vid_450457121,creator_1336,25247,gaming,rural,0,0,0.7539619035967839,0.16036540611974315
12288085,1336,8,19602379,vid_12288085,creator_1336,25220,education,rural,0,0,0.8049067768414386,0.6736454174749077
129723252,1336,8,19602345,vid_129723252,creator_1336,25254,sports,rural,0,0,0.0180065556004545,0.17925325573928075
39811579,1336,8,19602363,vid_39811579,creator_1336,25236,education,rural,0,0,0.962810357074026,0.6939495905101568
575725792,1336,8,19602419,vid_575725792,creator_1336,25180,music,rural,1,0,0.7266709920703233,0.22959816075396866
89588075,1336,8,19602427,vid_89588075,creator_1336,25172,news,rural,0,0,0.3047510953861333,0.11755130015021997
58247624,1336,8,19602343,vid_58247624,creator_1336,25256,music,rural,0,0,0.8293946648588469,0.16528449014295743
123443267,1336,8,19602424,vid_123443267,creator_1336,25175,sports,rural,1,0,0.28152119841492995,0.001992135219070268
473922839,1336,8,19602304,vid_473922839,creator_1336,25295,sports,rural,0,0,0.872753839566128,0.7187396178535302
456172088,1336,8,19602428,vid_456172088,creator_1336,25171,entertainment,rural,1,0,0.11258039041193701,0.7324010490583791
603722252,1336,8,19602303,vid_603722252,creator_1336,25296,music,rural,0,1,0.7036859774607958,0.5149333499132595
228219039,1336,8,19602285,vid_228219039,creator_1336,25314,music,rural,0,0,0.5406984766449103,0.1613628010553837
420164498,1336,8,19602391,vid_420164498,creator_1336,25208,music,rural,0,0,0.09653447019544081,0.08355433751068975
43220351,1336,8,19602405,vid_43220351,creator_1336,25194,sports,rural,0,1,0.24189382825883898,0.01912896643728701
439585130,1336,8,19602342,vid_439585130,creator_1336,25257,lifestyle,rural,0,0,0.01240403627731479,0.1657481769652207
177878934,1336,8,19602340,vid_177878934,creator_1336,25259,lifestyle,rural,0,0,0.46876796546450583,0.8908555349831467
75088207,1336,8,19602413,vid_75088207,creator_1336,25186,music,rural,1,0,0.3012652607600004,0.24153684170168177
355485592,1336,10,19350796,vid_355485592,creator_1336,276803,lifestyle,rural,0,0,0.5983574842977588,0.35427132721721566
472016139,1336,11,19270561,vid_472016139,creator_1336,357038,news,rural,1,1,0.2972378077086172,0.10534548448133318
155715234,1336,11,19270559,vid_155715234,creator_1336,357040,news,rural,0,0,0.2999191115069847,0.22236130474817029
321304240,1336,14,19263940,vid_321304240,creator_1336,363659,music,rural,1,1,0.7431931987316034,0.5192245707802051
464665658,1336,14,19263932,vid_464665658,creator_1336,363667,entertainment,rural,0,0,0.04814283597835345,0.6077526830956526
59554020,1336,15,19181901,vid_59554020,creator_1336,445698,music,rural,0,0,0.9028949951919872,0.24535231416621106
9505956,1336,16,19447312,vid_9505956,creator_1336,180287,news,rural,0,0,0.8522638743911815,0.05773215922511721
132522936,1336,24,19209125,vid_132522936,creator_1336,418474,sports,rural,0,0,0.6678046832264065,0.39103286912739865
550325,1336,34,19226794,vid_550325,creator_1336,400805,music,rural,1,0,0.5932215701073843,0.23420337092633414
497104299,1336,36,19505517,vid_497104299,creator_1336,122082,music,rural,0,1,0.8923024981396522,0.21955392322980194
271046348,1336,50,19430095,vid_271046348,creator_1336,197504,news,rural,0,0,0.18533017952871444,0.9598628027134553
200950733,1336,55,19511278,vid_200950733,creator_1336,116321,news,rural,0,1,0.07896916219082861,0.6163004859257241
239040674,1336,90,19363747,vid_239040674,creator_1336,263852,lifestyle,rural,0,0,0.2395101699095381,0.5568784431720959
297564834,1336,178,19607452,vid_297564834,creator_1336,20147,lifestyle,rural,1,1,0.7945782787001903,0.4157751035233219
346299914,1344,7,19381618,vid_346299914,creator_1344,245981,music,rural,1,0,0.03467026672648332,0.42894433343014426
158583372,1344,15,19181946,vid_158583372,creator_1344,445653,sports,rural,1,0,0.5828068350834896,0.5409050038380808
64793512,1344,28,19424879,vid_64793512,creator_1344,202720,entertainment,rural,0,1,0.9954375161913099,0.6964298070361072
117289464,1344,60,19166899,vid_117289464,creator_1344,460700,sports,rural,0,0,0.8556960938375394,0.7021460961818294
327357953,1344,68,19329939,vid_327357953,creator_1344,297660,gaming,rural,1,0,0.5214456890435895,0.17169390770544957
